nom,link,nevades,dataReport,neuPista,estado,maximNevada,minimNevada
Saas Almagell,https://es.snow-forecast.com/resorts/SaasAlmagell/snow-report,4,publicado el 15 Apr 2019,-,closed,,
Saas Grund,https://es.snow-forecast.com/resorts/SaasGrund/snow-report,7,publicado el 15 Apr 2019,Packed powder or groomed snow,Open,20,130
Samedan/Engadin,https://es.snow-forecast.com/resorts/SamedanEngadin/snow-report,28,publicado el 15 Apr 2019,-,closed,,
Samnaun,https://es.snow-forecast.com/resorts/Samnaun/snow-report,20,publicado el 15 Apr 2019,-,closed,,
San Bernardino,https://es.snow-forecast.com/resorts/SanBernardino/snow-report,16,publicado el 15 Apr 2019,-,closed,,
Sarn - Heinzenberg,https://es.snow-forecast.com/resorts/Sarn-Heinzenberg/snow-report,6,publicado el 14 Apr 2019,-,closed,,
Sattel - Hochstuckli,https://es.snow-forecast.com/resorts/Sattel-Hochstuckli/snow-report,1,publicado el 12 Apr 2019,-,-,,
Savagnières - Bugnenets,https://es.snow-forecast.com/resorts/Savagnieres-Bugnenets/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Savognin,https://es.snow-forecast.com/resorts/Savognin/snow-report,20,publicado el 15 Apr 2019,-,closed,,
Schwägalp - Appenzellerland,https://es.snow-forecast.com/resorts/Schwagalp-Appenzellerland/snow-report,19,publicado el 15 Apr 2019,-,closed,,
Schwanden - Sigriswil,https://es.snow-forecast.com/resorts/Schwanden-Sigriswil/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Schwarzsee,https://es.snow-forecast.com/resorts/Schwarzsee/snow-report,6,publicado el 14 Apr 2019,-,closed,,
Schwefelberg-Bad,https://es.snow-forecast.com/resorts/Schwefelberg-Bad/snow-report,4,publicado el 14 Apr 2019,-,closed,,
Schwellbrunn - Appenzellerland,https://es.snow-forecast.com/resorts/Schwellbrunn-Appenzellerland/snow-report,9,publicado el 15 Apr 2019,-,closed,,
Scuol/Engadin,https://es.snow-forecast.com/resorts/ScuolEngadin/snow-report,11,publicado el 15 Apr 2019,Powder,closed,,165
Sedrun Oberalp,https://es.snow-forecast.com/resorts/SedrunOberalp/snow-report,9,publicado el 15 Apr 2019,Packed powder or groomed snow,closed,40,250
Sessel-Gommiswald,https://es.snow-forecast.com/resorts/SesselGommiswald/snow-report,4,publicado el 15 Apr 2019,-,closed,,
